Sales Rep Assigned,Customer Num,Customer Name,Premise,Draft Package,Shipping Address,City,County,Distribution Area,Area,Buyer Count   2026,Cases   2026
Javier Melo,27111,Davids' Place (P),On Premise,3) Package Only,361 Monroe St,Passaic,Passaic,Passaic,Passaic,1,628.00
Pablo Lopez,24063,Noches De Colombia (Clifton),On Premise,3) Package Only,1 Village Square,Clifton,Passaic,Passaic,Passaic,1,627.33
Nick Melissari,96006,Blue Moon Mexican Cafe,On Premise,2) Draft and Package,327j Franklin Ave,Wyckoff,Bergen,Bergen,Bergen,1,626.00
Paul Mclaughlin,41023,The Whiskey Priest (Hackensack),On Premise,2) Draft and Package,159 Main St.,Hackensack,Bergen,Bergen,Bergen,1,621.00
Nick Melissari,31043,House of Que (East Rutherford),On Premise,2) Draft and Package,1 American Dream Way,East Rutherford,Bergen,Bergen,Bergen,1,621.00
Paul Mclaughlin,57004,River & Henley,On Premise,2) Draft and Package,704 River Rd,New Milford,Bergen,Bergen,Bergen,1,612.00
Brian Sengebush,191505,Mckenna's Pub (P),On Premise,2) Draft and Package,260 Espanong Rd,Lake Hopatcong,Morris,Morris 1,Morris 1,1,610.17
Nick Melissari,31026,Rockafella's,On Premise,2) Draft and Package,443 Paterson Aven,East Rutherford,Bergen,Bergen,Bergen,1,609.00
Allison Scott,25036,Dingbatz (P),On Premise,3) Package Only,620 Van Houten Ave,Clifton,Passaic,Passaic,Passaic,1,606.00
Brian Sengebush,190704,Tavern On The Rocks,On Premise,2) Draft and Package,9 Wall St,Rockaway,Morris,Morris 1,Morris 1,1,602.00
Allison Scott,24060,Clifton Billiards (Z),On Premise,2) Draft and Package,1158 Main Ave,Clifton,Passaic,Passaic,Passaic,1,598.00
Paul Mclaughlin,55005,Cresskill Tavern,On Premise,2) Draft and Package,29 E Madison Ave,Cresskill,Bergen,Bergen,Bergen,1,597.00
Javier Melo,20110,The Cathedral Restaurant,On Premise,3) Package Only,378 Main St,Paterson,Passaic,Passaic,Passaic,1,593.00
Matt Powierski,37040,The Venetian,On Premise,3) Package Only,546 River Rd,Garfield,Bergen,Bergen,Bergen,1,591.00
Robin Feldman,56022,Elks Post 1477,On Premise,2) Draft and Package,40 W Church St,Bergenfield,Bergen,Bergen,Bergen,1,591.00
Nick Melissari,93005,Mason Jar Restaurant,On Premise,2) Draft and Package,219 Ramapo Valley Rd,Mahwah,Bergen,Bergen,Bergen,1,588.00
Nick Melissari,79001,Victor's Maywood Inn,On Premise,2) Draft and Package,122 W Pleasant Ave,Maywood,Bergen,Bergen,Bergen,1,587.00
Robin Feldman,78010,American Lgn Rochelle Pk,On Premise,2) Draft and Package,33 W Passaic St,Rochelle Park,Bergen,Bergen,Bergen,1,584.00
Anthony Palmisano,230930,Brick & Brew,On Premise,2) Draft and Package,27 NJ-23,Franklin,Sussex,Sussex,Sussex,1,583.00
Brian Sengebush,190706,Mill Lane Tavern,On Premise,2) Draft and Package,8 Mill Lane,Rockaway,Morris,Morris 1,Morris 1,1,582.00
Jaime Colonna,49001,Don Coqui,On Premise,2) Draft and Package,541 River Rd,Edgewater,Bergen,Bergen,Bergen,1,579.00
Nick Melissari,38039,Hilltop Tav.(Z),On Premise,2) Draft and Package,50 Essex St,Lodi,Bergen,Bergen,Bergen,1,579.00
Nick Melissari,94012,Holiday Bowl,On Premise,2) Draft and Package,29 Spruce St,Oakland,Bergen,Bergen,Bergen,1,579.00
Pablo Lopez,22013,Hi-Beams (P),On Premise,3) Package Only,182 Getty Ave,Paterson,Passaic,Passaic,Passaic,1,578.00
Brian Sengebush,231601,Farmstead Golf (P),On Premise,2) Draft and Package,88 Lawrence Rd,Lafayette,Sussex,Sussex,Sussex,1,578.00
Nick Melissari,31036,Eros Cafe,On Premise,3) Package Only,168 Union Ave,East Rutherford,Bergen,Bergen,Bergen,1,576.00
Mike Ast,84012,Bareburger (Ridgewood),On Premise,2) Draft and Package,15 E Ridgewood Ave,Ridgewood,Bergen,Bergen,Bergen,1,575.00
Allison Scott,13003,Maggie's Town Tav.(P),On Premise,2) Draft and Package,10 Van Ness Ave,Little Falls,Passaic,Passaic,Passaic,1,572.17
Nick Melissari,29021,Uncle Vinnys Bar & Grill,On Premise,2) Draft and Package,37 Ridge Road,Lyndhurst,Bergen,Bergen,Bergen,1,571.00
Javier Melo,38046,La Fortaleza (Lodi),On Premise,3) Package Only,10 Route 46,Lodi,Bergen,Bergen,Bergen,1,568.00
Allison Scott,23001,Bogey's Sport Bar,On Premise,2) Draft and Package,103 Valley Road,Clifton,Passaic,Passaic,Passaic,1,561.00
Matt Powierski,32009,American Lgn (P) (Carlstadt),On Premise,2) Draft and Package,412 Third St,Carlstadt,Bergen,Bergen,Bergen,1,560.00
Nick Melissari,49054,Hiram's,On Premise,2) Draft and Package,1345 Palisade Ave,Fort Lee,Bergen,Bergen,Bergen,1,557.00
Pablo Lopez,52005,Noches De Colombia(Englewood)),On Premise,3) Package Only,90 W. Palisade Ave,Englewood,Bergen,Bergen,Bergen,1,554.00
Allison Scott,7003,Blu Ale House,On Premise,2) Draft and Package,92 NJ-23,Riverdale,Morris,Morris 3,Morris 3,1,553.33
Paul Mclaughlin,69009,Rivervale Country Club,On Premise,2) Draft and Package,660 Rivervale Road,Rivervale,Bergen,Bergen,Bergen,1,553.17
Nick Melissari,92005,Kinchley's,On Premise,2) Draft and Package,586 Franklin Tpk,Ramsey,Bergen,Bergen,Bergen,1,552.00
Nick Melissari,93004,Mahwah B & G (A),On Premise,2) Draft and Package,2 Island Rd,Mahwah,Bergen,Bergen,Bergen,1,550.00
Anthony Palmisano,231207,Great Gorge Golf (A) Club,On Premise,2) Draft and Package,414 County Rd 517,Vernon,Sussex,Sussex,Sussex,1,550.00
Nick Melissari,31056,H Mart Inc (Space A103),On Premise,2) Draft and Package,1 American Dream Way,East Rutherford,Bergen,Bergen,Bergen,1,546.00
Nick Melissari,32015,Cjd 2l Corp(Sofive),On Premise,3) Package Only,2 Palmer Terrace,Carlstadt,Bergen,Bergen,Bergen,1,540.00
Javier Melo,27044,Clary's Restaurant & Bar,On Premise,3) Package Only,196 Monroe St,Passaic,Passaic,Passaic,Passaic,1,538.00
Allison Scott,24061,Breaker Billiards,On Premise,2) Draft and Package,1142 US-46,Clifton,Passaic,Passaic,Passaic,1,534.00
Brian Sengebush,190312,The Knoll Country Club & Catering,On Premise,3) Package Only,12 Knoll Lane,Boonton,Morris,Morris 1,Morris 1,1,531.00
Allison Scott,58005,Feathers (A),On Premise,2) Draft and Package,77 Kinderkamack Rd,River Edge,Bergen,Bergen,Bergen,1,528.00
Nick Melissari,39017,Bj's Rest & Brewhouse(A),On Premise,2) Draft and Package,21 Teterboro Landing Dr,Teterboro,Bergen,Bergen,Bergen,1,523.00
Paul Mclaughlin,76005,Midland Brewhouse (A),On Premise,2) Draft and Package,374 North Midland Ave,Saddle Brook,Bergen,Bergen,Bergen,1,522.00
Allison Scott,12064,In The Drink@Passaic Gc,On Premise,2) Draft and Package,209 Totowa Rd,Wayne,Passaic,Passaic,Passaic,1,519.00
Nick Melissari,37012,Sportsmens (P) Tavern,On Premise,2) Draft and Package,245 Outwater Lane,Garfield,Bergen,Bergen,Bergen,1,516.00
Nick Melissari,37063,Jojo's Bar & Grill,On Premise,2) Draft and Package,133 Monroe St,Garfield,Bergen,Bergen,Bergen,1,516.00
Robin Feldman,12012,Cosmopolitan,On Premise,2) Draft and Package,1377 NJ-23,Wayne,Passaic,Passaic,Passaic,1,515.00
Nick Melissari,49085,Tommy's Tavern + Tap (Edgewater),On Premise,2) Draft and Package,11 The Promenade,Edgewater,Bergen,Bergen,Bergen,1,515.00
Chris Payton,80027,Ridgewood Country Club,On Premise,2) Draft and Package,96 W Midland Ave,Paramus,Bergen,Bergen,Bergen,1,511.17
Robin Feldman,37055,82 OAK BAR & BISTRO,On Premise,3) Package Only,149 Vanwinkle Ave,Garfield,Bergen,Sales,Sales,1,511.00
Brian Sengebush,191504,Jefferson House (A),On Premise,2) Draft and Package,139 Nolan's Point Rd,Lake Hopatcong,Morris,Morris 1,Morris 1,1,509.00
Nick Melissari,92014,Ramsey Country Clb,On Premise,2) Draft and Package,105 Lakeside Dr,Ramsey,Bergen,Bergen,Bergen,1,508.00
Paul Mclaughlin,36015,Wallington Lane (Bowlero),On Premise,2) Draft and Package,299 Paterson Ave,Wallington,Bergen,Bergen,Bergen,1,507.00
Allison Scott,12032,Casa Don Manuel,On Premise,3) Package Only,1292 Alps Rd,Wayne,Passaic,Passaic,Passaic,1,505.00
Javier Melo,27108,Los Arcos (P) Rest.,On Premise,3) Package Only,305 Monroe St,Passaic,Passaic,Passaic,Passaic,1,505.00
Brian Sengebush,230123,Sparta Lanes (Pino),On Premise,2) Draft and Package,43 Theatre Center,Sparta,Sussex,Sussex,Sussex,1,502.00
Brian Sengebush,190203,Boonton Lanes,On Premise,3) Package Only,720 Myrtle Ave,Boonton,Morris,Morris 1,Morris 1,1,502.00
Brian Sengebush,230304,Mc Q's Pub (P),On Premise,2) Draft and Package,165 Andover Sparta Rd,Newton,Sussex,Sussex,Sussex,1,499.00
Nick Melissari,34002,Heights Bar (P),On Premise,2) Draft and Package,163 Boulevard,Hasbrouck Heights,Bergen,Bergen,Bergen,1,499.00
Matt Powierski,33006,Bazzarellis (Z),On Premise,3) Package Only,117 Moonachie Rd,Moonachie,Bergen,Bergen,Bergen,1,494.30
Allison Scott,19028,D'Carbon Restaurant Hawthorne,On Premise,2) Draft and Package,142 Goffle Road,Hawthorne,Passaic,Sales,Sales,1,494.00
Nick Melissari,96005,The Brick House (P),On Premise,2) Draft and Package,179 Godwin Ave,Wyckoff,Bergen,Bergen,Bergen,1,494.00
Anthony Palmisano,1028,J & S Roadhouse,On Premise,3) Package Only,17 Wooley Road,West Milford,Passaic,Passaic-FF,Passaic-FF,1,492.00
Brian Sengebush,231710,Lakeside Pub (P),On Premise,2) Draft and Package,436 Us-206,Branchville,Sussex,Sussex,Sussex,1,492.00
Brian Sengebush,190709,Adams (P),On Premise,2) Draft and Package,123 Hibernia Ave,Rockaway,Morris,Morris 1,Morris 1,1,490.17
Robin Feldman,34018,Hilton Hasbrk Hts #50591,On Premise,2) Draft and Package,650 Terrace Ave,Hasbrouck Heights,Bergen,Bergen,Bergen,1,488.00
Brian Sengebush,230405,Sheridan Lodge (P),On Premise,2) Draft and Package,631 Limecrest Rd,Newton,Sussex,Sussex,Sussex,1,486.00
Nick Melissari,39018,Texas Roadhouse,On Premise,2) Draft and Package,20 Teterboro Landing Dr.,Teterboro,Bergen,Bergen,Bergen,1,482.00
Chris Payton,35009,Fiesta (A),On Premise,2) Draft and Package,255 Route 17 S,Woodridge,Bergen,Bergen,Bergen,1,480.00
Allison Scott,19016,Jiggle's,On Premise,3) Package Only,105 Mohawk Ave,Hawthorne,Passaic,Passaic,Passaic,1,480.00
Javier Melo,24034,La Fortaleza (Clifton),On Premise,3) Package Only,590 Lexington Ave,Clifton,Passaic,Passaic,Passaic,1,478.00
Brian Sengebush,191508,Elks Post 782 (Z),On Premise,2) Draft and Package,201 Howard Blvd,Mt Arlington,Morris,Morris 1,Morris 1,1,475.00
Allison Scott,19005,Celtic Corner,On Premise,2) Draft and Package,312 Lafayette Ave,Hawthorne,Passaic,Passaic,Passaic,1,475.00
Nick Melissari,92012,The Shannon Rose/Ramsey,On Premise,2) Draft and Package,1200 Rt 17 N,Ramsey,Bergen,Bergen,Bergen,1,473.00
Allison Scott,17009,Jimmy Geez (P),On Premise,2) Draft and Package,436 Belmont Ave,Haledon,Passaic,Passaic,Passaic,1,472.00
Robin Feldman,28026,Elks Post 1992 (Z),On Premise,3) Package Only,129 Ridge Rd,North Arlington,Bergen,Bergen,Bergen,1,469.00
Dan Lagala,43032,El Caporal Mexican Food,On Premise,3) Package Only,341 Anderson Ave,Fairview,Bergen,Bergen,Bergen,1,469.00
Brian Sengebush,230312,Skyland Baseball,On Premise,2) Draft and Package,94 Championship Place,Augusta,Sussex,Sussex,Sussex,1,469.00
Allison Scott,25083,Rutt's Hut (A),On Premise,2) Draft and Package,417 River Rd,Clifton,Passaic,Passaic,Passaic,1,468.67
Anthony Palmisano,230903,Black Bear Golf(A),On Premise,2) Draft and Package,138 New Jersey 23,Franklin,Sussex,Sussex,Sussex,1,463.00
Allison Scott,24022,Applebee's Clifton,On Premise,2) Draft and Package,375 Rte 3 E,Clifton,Passaic,Passaic,Passaic,1,462.00
Javier Melo,21005,La Fuente Bar (A),On Premise,3) Package Only,43 Ellison Street,Paterson,Passaic,Passaic,Passaic,1,461.00
Nick Melissari,88002,Nellie's Place (P),On Premise,2) Draft and Package,9 Franklin Tpk,Waldwick,Bergen,Bergen,Bergen,1,457.00
Anthony Palmisano,231309,The Stuffed Olive_2,On Premise,2) Draft and Package,1 Libertyville Rd,Wantage,Sussex,Sussex,Sussex,1,456.00
Matt Powierski,37047,Dp's Pub & Seafood Grill,On Premise,2) Draft and Package,732 River Dr,Garfield,Bergen,Bergen,Bergen,1,451.00
Paul Mclaughlin,56004,Jack E Pooh's,On Premise,3) Package Only,22 N Front St,Bergenfield,Bergen,Bergen,Bergen,1,450.17
Robin Feldman,76013,Vfw Of Saddlebrook,On Premise,2) Draft and Package,44 Market St,Saddle Brook,Bergen,Bergen,Bergen,1,449.00
Nick Melissari,31058,Dream 360,On Premise,2) Draft and Package,1 American Dream Way,East Rutherford,Bergen,Bergen,Bergen,1,449.00
Mike Ast,83008,Glen Rock Ac Clb(P),On Premise,2) Draft and Package,221 Main St,Glen Rock,Bergen,Bergen,Bergen,1,448.00
Robin Feldman,42015,Amer Lgn (Z) Little Ferry,On Premise,2) Draft and Package,100 Liberty Ave,Little Ferry,Bergen,Bergen,Bergen,1,448.00
Brian Sengebush,190905,Rockaway River Barn,On Premise,2) Draft and Package,11 Greenpond Rd,Rockaway,Morris,Morris 1,Morris 1,1,447.00
Brian Sengebush,231719,Layton Tavern,On Premise,2) Draft and Package,124 Co Rd 560,Layton,Sussex,Sussex,Sussex,1,446.00
Pablo Lopez,27015,Dona Maria Rest,On Premise,3) Package Only,32 Bergen St,Passaic,Passaic,Passaic,Passaic,1,443.00
Brian Sengebush,231703,AG Pizza and Restaurant (Branchville),On Premise,2) Draft and Package,3 Mill St,Branchville,Sussex,Sussex,Sussex,1,442.00
Nick Melissari,30029,Native Union Club,On Premise,3) Package Only,15 Sylvan St,Rutherford,Bergen,Bergen,Bergen,1,441.00
Allison Scott,11007,Meadows Golf Club(P),On Premise,2) Draft and Package,79 2 Bridges Rd,Lincoln Park,Morris,Morris 3,Morris 3,1,441.00
Nick Melissari,49004,Dino's Bar & Grill,On Premise,2) Draft and Package,1466 River Rd,Edgewater,Bergen,Bergen,Bergen,1,438.00
Paul Mclaughlin,81004,Stosh's Craft Bar (Z),On Premise,2) Draft and Package,18 15 Maple Ave,Fair Lawn,Bergen,Bergen,Bergen,1,436.58
Allison Scott,13002,The Little Falls Tavern,On Premise,2) Draft and Package,131 Newark Pompton Turnpike,Little Falls,Passaic,Passaic,Passaic,1,434.00
Paul Mclaughlin,81019,Oceanos Osyter Bar Grill,On Premise,3) Package Only,2-27 Saddle River Rd,Fair Lawn,Bergen,Bergen,Bergen,1,426.40
Dan Lagala,46029,Hanam Daeji,On Premise,3) Package Only,445 Grand Ave,Palisades Park,Bergen,Bergen,Bergen,1,423.00
Allison Scott,14005,The Grand,On Premise,3) Package Only,38 Lackwanna Av,Totowa,Passaic,Passaic,Passaic,1,423.00
Nick Melissari,38025,Rebar (Z),On Premise,2) Draft and Package,132 Essex St,Lodi,Bergen,Bergen,Bergen,1,419.00
Anthony Palmisano,231002,Stew N Dolly's Place,On Premise,2) Draft and Package,46 Main St,Ogdensburg,Sussex,Sussex,Sussex,1,418.00
Nick Melissari,32005,Biggies (A),On Premise,2) Draft and Package,430 Rte 17 So,Carlstadt,Bergen,Bergen,Bergen,1,418.00
Paul Mclaughlin,39007,Club Flamingo (A),On Premise,3) Package Only,430 Route 46,South Hackensac,Bergen,Bergen,Bergen,1,416.00
Dan Lagala,44025,Rudys (A),On Premise,2) Draft and Package,591 Anderson Ave,Cliffside Park,Bergen,Bergen,Bergen,1,416.00
Robin Feldman,230124,Fu's Chinese (P) Rest.,On Premise,3) Package Only,227 S Sparta Ave,Sparta,Sussex,Sussex,Sussex,1,415.40
Paul Mclaughlin,85001,Eleven Central,On Premise,2) Draft and Package,11 Central Ave,Midland Park,Bergen,Bergen,Bergen,1,415.33
Allison Scott,20010,Riverside Grill(D'carbon),On Premise,3) Package Only,855 River Street,Paterson,Passaic,Passaic,Passaic,1,414.00
Allison Scott,12038,Tommy's Tavern + Tap (Wayne),On Premise,2) Draft and Package,71 NJ-23,Wayne,Passaic,Passaic,Passaic,1,414.00
Allison Scott,13015,Rare The Steakhouse (Z),On Premise,2) Draft and Package,440 Main Street,Little Falls,Passaic,Passaic,Passaic,1,413.00
Anthony Palmisano,231210,Bally Owen Golf Club,On Premise,2) Draft and Package,105 Wheatsworth Rd,Hamburg,Sussex,Sussex,Sussex,1,411.17
Paul Mclaughlin,75001,Emerson Hotel,On Premise,2) Draft and Package,31 Emerson Plaza E,Emerson,Bergen,Bergen,Bergen,1,409.50
Nick Melissari,41016,Cheesecake Fact (A)Hacken,On Premise,2) Draft and Package,197 Riverside Square Mall,Hackensack,Bergen,Bergen,Bergen,1,407.00
Anthony Palmisano,4004,The River Of Beer,On Premise,2) Draft and Package,133 Main St,Bloomingdale,Passaic,Passaic,Passaic,1,406.17
Brian Sengebush,230428,O'reilly Pub (P),On Premise,2) Draft and Package,271 Spring St,Newton,Sussex,Sussex,Sussex,1,405.00
Paul Mclaughlin,61003,White Beeches Golf Club,On Premise,2) Draft and Package,70 Haworth Dr,Haworth,Bergen,Bergen,Bergen,1,401.67
Paul Mclaughlin,50001,Andy's Corner (Z),On Premise,2) Draft and Package,257 Queen Ann Rd,Bogota,Bergen,Bergen,Bergen,1,401.17
Paul Mclaughlin,50006,Cozy Tavern (P),On Premise,2) Draft and Package,131 Queen Anne Rd,Bogota,Bergen,Bergen,Bergen,1,401.00
Nick Melissari,32008,Steve's Bar & Grill (A),On Premise,2) Draft and Package,620 Rt 17,Carlstadt,Bergen,Bergen,Bergen,1,401.00
Brian Sengebush,190108,Harrigan's Rest. (P),On Premise,2) Draft and Package,144 Main Rd,Montville,Morris,Morris 1,Morris 1,1,395.67
Anthony Palmisano,1010,Jimmy Geez(North)Bar/Gril,On Premise,2) Draft and Package,3219 Rt 23 South,Oak Ridge,Passaic,Passaic,Passaic,1,395.00
Dan Lagala,44035,O'Malleys Pub LLC DBA Blackbird Pub,On Premise,2) Draft and Package,658 Anderson Ave,Cliffside Park,Bergen,Bergen,Bergen,1,394.00
Robin Feldman,29044,American Lgn Lyndhurst #139,On Premise,2) Draft and Package,217 Webster Ave,Lyndhurst,Bergen,Bergen,Bergen,1,393.17
Robin Feldman,50036,Moose Lodge 961 (Z),On Premise,3) Package Only,201 W Englewood Av Bx 717,Teaneck,Bergen,Bergen,Bergen,1,390.00
Robin Feldman,15079,American Lgn Totowa,On Premise,2) Draft and Package,180 Union Blvd,Totowa,Passaic,Passaic,Passaic,1,387.50
Nick Melissari,28020,Tejo Bar & Rest,On Premise,2) Draft and Package,318 Belleville Tpke,North Arlington,Bergen,Bergen,Bergen,1,387.00
Robin Feldman,12006,Novelli (P),On Premise,3) Package Only,2410 Hamburg Turnpike,Wayne,Passaic,Passaic,Passaic,1,387.00
Robin Feldman,93013,Elks Post 1941 (Z),On Premise,3) Package Only,1 Foxwood Ln,Mahwah,Bergen,Bergen,Bergen,1,386.00
Paul Mclaughlin,56016,Chapala Grill - Bergenfield,On Premise,2) Draft and Package,52 S Washington Ave,Bergenfield,Bergen,Bergen,Bergen,1,385.00
Paul Mclaughlin,62010,LUCIOS,On Premise,2) Draft and Package,208 Piermont Rd,Closter,Bergen,Bergen,Bergen,1,383.50
Robin Feldman,94016,Doc Watsons NJ,On Premise,2) Draft and Package,20 Elm St,Oakland,Bergen,Bergen,Bergen,1,383.00
Allison Scott,23020,Clifton City Tavern(P),On Premise,3) Package Only,709 Van Houten Avenue,Clifton,Passaic,Passaic,Passaic,1,381.00
Brian Sengebush,190707,The Exchange,On Premise,2) Draft and Package,160 E Main St,Rockaway,Morris,Morris 1,Morris 1,1,381.00
Allison Scott,17006,The Yard,On Premise,2) Draft and Package,289 Belmont Ave,Haledon,Passaic,Passaic,Passaic,1,380.00
Brian Sengebush,191719,American Lgn Stanhope,On Premise,2) Draft and Package,119 NJ-183,Stanhope,Sussex,Sussex,Sussex,1,380.00
Paul Mclaughlin,40032,Side Bar,On Premise,2) Draft and Package,45 Main St,Hackensack,Bergen,Sales,Sales,1,380.00
Robin Feldman,190607,Rockaway River Cc(P),On Premise,2) Draft and Package,39 Pocono Rd,Denville,Morris,Morris 1,Morris 1,1,379.00
Allison Scott,25078,The Shannon Rose (A),On Premise,2) Draft and Package,98 Kingsland Rd,Clifton,Passaic,Passaic,Passaic,1,376.00
Derrick Laws,22053,Rincon Centroamericano,On Premise,3) Package Only,197 Market St,Paterson,Passaic,Passaic,Passaic,1,376.00
Paul Mclaughlin,81015,Fair Lawn Athletic Club,On Premise,2) Draft and Package,14-19 Paramelee Ave,Fair Lawn,Bergen,Bergen,Bergen,1,373.00
Brian Sengebush,230422,Boomer Bar (P) & Grill,On Premise,2) Draft and Package,1 Co Rd 521,Newton,Sussex,Sussex,Sussex,1,372.00
Robin Feldman,77013,William J. Mulligan VFW Post 281,On Premise,2) Draft and Package,6 Veterans Pl,Elmwood Park,Bergen,Bergen,Bergen,1,372.00
Brian Sengebush,230411,Cesco's Pizza (P),On Premise,3) Package Only,538 State Route 94 South,Fredon Township,Sussex,Sussex,Sussex,1,371.40
Pablo Lopez,20081,Hacienda (P),On Premise,2) Draft and Package,102 Mclean Blvd,Paterson,Passaic,Passaic,Passaic,1,371.00
Allison Scott,13016,THE TIES,On Premise,2) Draft and Package,4 Woodhull Ave,Little Falls,Passaic,Sales,Sales,1,367.00
Brian Sengebush,230407,Fountain House (Z),On Premise,2) Draft and Package,439 NJ-94,Newton,Sussex,Sussex,Sussex,1,367.00
Chris Payton,81012,Dutch House,On Premise,2) Draft and Package,24-07 Fair Lawn Ave,Fair Lawn,Bergen,Bergen,Bergen,1,364.00
Robin Feldman,81005,The Craftsman,On Premise,2) Draft and Package,6-18 Maple Ave,Fair Lawn,Bergen,Sales,Sales,1,363.17
Robin Feldman,74002,Elks Post 1562,On Premise,2) Draft and Package,523 Kinderkamack Rd,Westwood,Bergen,Bergen,Bergen,1,363.00
Allison Scott,19012,Bottagra Rest (P),On Premise,2) Draft and Package,80 Wagaraw Road,Hawthorne,Passaic,Passaic,Passaic,1,362.17
Brian Sengebush,190813,Picatinney Golf(NAFIB4-22-A-0036),On Premise,2) Draft and Package,Bldg 121b,Picatinny,Morris,Morris 1,Morris 1,1,360.00
Allison Scott,14002,Applebee's (Totowa) (A),On Premise,2) Draft and Package,465 Rt 46 West,Totowa,Passaic,Passaic,Passaic,1,360.00
Chris Payton,80029,Seoul Galbi,On Premise,3) Package Only,123 Paramus Rd,Paramus,Bergen,Bergen,Bergen,1,358.00
Matt Powierski,36025,Karol's Pub (A),On Premise,2) Draft and Package,252 Maple Ave,Wallington,Bergen,Bergen,Bergen,1,357.00
Anthony Palmisano,231803,High Point Gc/Rest (P),On Premise,2) Draft and Package,342 Shore Drive,Montague,Sussex,Sussex,Sussex,1,357.00
Robin Feldman,62015,Elks Lodge 2304(Z),On Premise,3) Package Only,148 Rail Road Ave,Closter,Bergen,Bergen,Bergen,1,355.00
Allison Scott,12036,Brokedown Palace,On Premise,2) Draft and Package,95 Mountainview Blvd,Wayne,Passaic,Passaic,Passaic,1,354.00
Allison Scott,12037,Maggies Town Tavern Ii,On Premise,2) Draft and Package,1082 Hamburg Turnpike,Wayne,Passaic,Passaic,Passaic,1,354.00
Mike Ast,84007,Steel Wheel Tavern,On Premise,2) Draft and Package,51 N Broad St,Ridgewood,Bergen,Bergen,Bergen,1,353.00
Pablo Lopez,25051,Portuguese Tavern Steak House,On Premise,2) Draft and Package,507 Crooks Ave,Clifton,Passaic,Passaic,Passaic,1,353.00
Office Tell Sell,20103,Moonlight (P) Lounge,On Premise,3) Package Only,100 Market St,Paterson,Passaic,Passaic,Passaic,1,350.00
Robin Feldman,57015,Elks Post 2290 (Z),On Premise,3) Package Only,1 Patrolman Ray Woods Dr,New Milford,Bergen,Bergen,Bergen,1,348.00
Brian Sengebush,191704,Stonewood Tavern,On Premise,2) Draft and Package,239 Us-206 S.,Byram,Sussex,Sussex,Sussex,1,347.60
Matt Powierski,33004,Gray Cliff (A),On Premise,3) Package Only,290 Moonachie Ave,Moonachie,Bergen,Bergen,Bergen,1,347.00
Brian Sengebush,190205,Sharky's West (P),On Premise,2) Draft and Package,108 Boonton Ave,Boonton,Morris,Morris 1,Morris 1,1,346.00
Allison Scott,25077,Chevy's Fresh Mex (A)Clif,On Premise,2) Draft and Package,365 Rte 3 East,Clifton,Passaic,Passaic,Passaic,1,341.00
Pablo Lopez,20108,5th Avenue (P) Tavern,On Premise,3) Package Only,138 5th Ave,Paterson,Passaic,Passaic,Passaic,1,340.00
Nick Melissari,31023,Applebee's Garfield (A),On Premise,2) Draft and Package,186 Passaic St,Garfield,Bergen,Bergen,Bergen,1,339.00
Brian Sengebush,190918,Luna Restaurant & Bar,On Premise,3) Package Only,42 N Main St,Wharton,Morris,Morris 1,Morris 1,1,336.00
Pablo Lopez,27142,Lena y Carbon Restaurant & Bar (Passaic),On Premise,2) Draft and Package,64 Lexington Ave,Passaic,Passaic,Sales,Sales,1,335.00
Nick Melissari,88003,W's Village Grille,On Premise,2) Draft and Package,71 Crescent Ave,Waldwick,Bergen,Bergen,Bergen,1,333.00
Allison Scott,24054,Upper Montclair Cc (A),On Premise,2) Draft and Package,177 Hepburn Rd,Clifton,Passaic,Passaic,Passaic,1,332.67
Robin Feldman,30017,Renaissance Meadowlands,On Premise,3) Package Only,801 Rutherford Ave,Rutherford,Bergen,Bergen,Bergen,1,329.00
Paul Mclaughlin,52030,Sofia,On Premise,3) Package Only,36 Engle St,Englewood,Bergen,Bergen,Bergen,1,327.00
Allison Scott,15006,Great Notch Inn(Z),On Premise,2) Draft and Package,400 Us 46 West,Little Falls,Passaic,Passaic,Passaic,1,326.17
Robin Feldman,191219,Berkshire Valley Gc,On Premise,2) Draft and Package,28 Cozy Lake Rd,Oak Ridge,Morris,Morris 1,Morris 1,1,324.00
Anthony Palmisano,1033,D'Boathaus Restaurant,On Premise,2) Draft and Package,322 Lakeside Road,Hewitt,Passaic,Passaic-FF,Passaic-FF,1,322.00
Robin Feldman,28015,K Of C N Arlington (Z),On Premise,3) Package Only,194 River Rd,North Arlington,Bergen,Bergen,Bergen,1,322.00
Brian Sengebush,191510,Lola's Restaurant,On Premise,2) Draft and Package,300 Lakeside Ave,Hopatcong,Sussex,Sussex,Sussex,1,322.00
Derrick Laws,20048,Downtown Cafe (P),On Premise,3) Package Only,29 Church St,Paterson,Passaic,Passaic,Passaic,1,320.00
Robin Feldman,192156,Hapgoods Restaurant,On Premise,2) Draft and Package,44 Midvale Rd,Mountain Lakes,Morris,Morris 1,Morris 1,1,319.00
Paul Mclaughlin,57007,New Bridge Inn(A),On Premise,3) Package Only,105 Old New Bridge Rd,New Milford,Bergen,Bergen,Bergen,1,315.00
Robin Feldman,34016,Vfw Hasbrouck (A),On Premise,2) Draft and Package,513 Veterans Pl,Hasbrouck Heights,Bergen,Bergen,Bergen,1,314.33
Brian Sengebush,190220,Reservoir Tavern(A),On Premise,2) Draft and Package,92 Parsippany Blvd,Boonton,Morris,Morris 1,Morris 1,1,314.00
