Sales Rep Assigned,Product Num Name,Customer Num & Company,On-Off Premise,Load Sheet Date,Placement Count   6/1/2026 - 8/31/2026,Placement Count   9/1/2026 - 9/30/2026,Placement Count Percentage Total
Anthony Palmisano,1155 Fever Tree Ginger Beer 3/8/150 mL Can,1007 The Greenwood Tavern,On Premise,7/28/2026,1.00,,
Paul Mclaughlin,1172 Fever Tree Pink Grapefruit Soda 6/4/200 mL Btl,74021 Bar Mutz,On Premise,7/24/2026,1.00,,
Allison Scott,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,58005 Feathers (A),On Premise,7/24/2026,1.00,,
Allison Scott,1168 Fever Tree mediterranean Tonic Water 6/4/200 mL Btl,12048 Anthonys CF Pizza (Wayne),On Premise,7/24/2026,1.00,,
Allison Scott,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,23001 Bogey's Sport Bar,On Premise,7/24/2026,1.00,,
Anthony Palmisano,1173 Fever Tree Pink Grapefruit Soda 3/8/150 mL Can,230915 Crystal Sprs/Wild Turkey,On Premise,7/23/2026,1.00,,
Brian Sengebush,1169 Fever Tree Ginger Ale 6/4/200 mL Btl,1022 The Cheesecake Factory,On Premise,7/23/2026,1.00,,
Nick Melissari,1172 Fever Tree Pink Grapefruit Soda 6/4/200 mL Btl,40025 Pf Changs China Bis(A) (Hackensack),On Premise,7/23/2026,1.00,,
Paul Mclaughlin,1160 Fever Tree Tonic Water 6/4/200 mL Btl,74010 Osteria Crescendo,On Premise,7/23/2026,1.00,,
Mike Ast,1172 Fever Tree Pink Grapefruit Soda 6/4/200 mL Btl,95001 Pazza,On Premise,7/23/2026,1.00,,
Paul Mclaughlin,1178 Fever Tree Expresso Martini Mix 8/500 mL Btl,81004 Stosh's Craft Bar (Z),On Premise,7/23/2026,1.00,,
Nick Melissari,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,41016 Cheesecake Fact (A)Hacken,On Premise,7/23/2026,1.00,,
Paul Mclaughlin,1166 Fever Tree Elderflower Tonic Water 6/4/200 mL Btl,74010 Osteria Crescendo,On Premise,7/23/2026,1.00,,
Paul Mclaughlin,1172 Fever Tree Pink Grapefruit Soda 6/4/200 mL Btl,81004 Stosh's Craft Bar (Z),On Premise,7/23/2026,1.00,,
Nick Melissari,1169 Fever Tree Ginger Ale 6/4/200 mL Btl,41016 Cheesecake Fact (A)Hacken,On Premise,7/23/2026,1.00,,
Allison Scott,1169 Fever Tree Ginger Ale 6/4/200 mL Btl,12041 Cheesecake Fact (A)Wayne,On Premise,7/23/2026,1.00,,
Brian Sengebush,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,1024 Buffalo Wild Wings (Rockaway),On Premise,7/23/2026,1.00,,
Mike Ast,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,95001 Pazza,On Premise,7/23/2026,1.00,,
Brian Sengebush,1169 Fever Tree Ginger Ale 6/4/200 mL Btl,1024 Buffalo Wild Wings (Rockaway),On Premise,7/23/2026,1.00,,
Anthony Palmisano,1175 Fever Tree Cucumber 6/4/200 mL Btl,230915 Crystal Sprs/Wild Turkey,On Premise,7/23/2026,1.00,,
Paul Mclaughlin,1174 Fever Tree Lime-Yuzu 6/4/200 mL Btl,81004 Stosh's Craft Bar (Z),On Premise,7/23/2026,1.00,,
Brian Sengebush,1169 Fever Tree Ginger Ale 6/4/200 mL Btl,1024 Buffalo Wild Wings (Rockaway),On Premise,7/22/2026,1.00,,
Dan Lagala,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,49016 Ipic Theaters,On Premise,7/22/2026,1.00,,
Nick Melissari,1158 Fever Tree Club Soda 8/500 mL Btl,92003 Bar Boutique,On Premise,7/22/2026,1.00,,
Brian Sengebush,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,1024 Buffalo Wild Wings (Rockaway),On Premise,7/22/2026,1.00,,
Nick Melissari,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,92003 Bar Boutique,On Premise,7/22/2026,1.00,,
Nick Melissari,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,80018 Millers Paramus Ale House,On Premise,7/21/2026,1.00,,
Allison Scott,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,24019 Sharky's Wings(P),On Premise,7/21/2026,1.00,,
Paul Mclaughlin,1157 Fever Tree Club Soda 6/4/200 mL Btl,52030 Sofia,On Premise,7/21/2026,1.00,,
Brian Sengebush,1172 Fever Tree Pink Grapefruit Soda 6/4/200 mL Btl,190724 PF Changs,On Premise,7/21/2026,1.00,,
Mike Ast,1155 Fever Tree Ginger Beer 3/8/150 mL Can,84022 Park West Tavern,On Premise,7/21/2026,1.00,,
Nick Melissari,1160 Fever Tree Tonic Water 6/4/200 mL Btl,78016 Outback Stk Hse Roch Pk,On Premise,7/21/2026,1.00,,
Paul Mclaughlin,1163 Fever Tree Tonic Water Light 6/4/200 mL Btl,52030 Sofia,On Premise,7/21/2026,1.00,,
Jim Heaney,1155 Fever Tree Ginger Beer 3/8/150 mL Can,28030 Carlitos,On Premise,7/21/2026,1.00,,
Paul Mclaughlin,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,52030 Sofia,On Premise,7/21/2026,1.00,,
Allison Scott,1155 Fever Tree Ginger Beer 3/8/150 mL Can,7003 Blu Ale House,On Premise,7/21/2026,1.00,,
Allison Scott,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,13015 Rare The Steakhouse (Z),On Premise,7/17/2026,1.00,,
Nick Melissari,1174 Fever Tree Lime-Yuzu 6/4/200 mL Btl,80013 Bonefish Grill (A) (Paramus),On Premise,7/17/2026,1.00,,
Anthony Palmisano,1175 Fever Tree Cucumber 6/4/200 mL Btl,230915 Crystal Sprs/Wild Turkey,On Premise,7/17/2026,1.00,,
Nick Melissari,1169 Fever Tree Ginger Ale 6/4/200 mL Btl,41016 Cheesecake Fact (A)Hacken,On Premise,7/17/2026,1.00,,
Brian Sengebush,1154 Fever Tree Ginger Beer 8/500 mL Btl,190219 Columbia Inn,On Premise,7/17/2026,1.00,,
Brian Sengebush,1172 Fever Tree Pink Grapefruit Soda 6/4/200 mL Btl,191509 The Beacon,On Premise,7/16/2026,1.00,,
Allison Scott,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,12041 Cheesecake Fact (A)Wayne,On Premise,7/16/2026,1.00,,
Allison Scott,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,24038 J. Alexander's Restaurant,On Premise,7/16/2026,1.00,,
Brian Sengebush,1153 Fever Tree Blood Orange Ginger Beer 6/4/200 mL Btl,191502 Alice's (Z),On Premise,7/16/2026,1.00,,
Allison Scott,1169 Fever Tree Ginger Ale 6/4/200 mL Btl,24038 J. Alexander's Restaurant,On Premise,7/16/2026,1.00,,
Allison Scott,1172 Fever Tree Pink Grapefruit Soda 6/4/200 mL Btl,25052 Uno Chicago Grl (A)Clifto,On Premise,7/16/2026,1.00,,
Paul Mclaughlin,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,57011 Casual Habana Cafe (P),On Premise,7/16/2026,1.00,,
Allison Scott,1172 Fever Tree Pink Grapefruit Soda 6/4/200 mL Btl,24038 J. Alexander's Restaurant,On Premise,7/16/2026,1.00,,
Brian Sengebush,1160 Fever Tree Tonic Water 6/4/200 mL Btl,1024 Buffalo Wild Wings (Rockaway),On Premise,7/16/2026,1.00,,
Allison Scott,1157 Fever Tree Club Soda 6/4/200 mL Btl,24038 J. Alexander's Restaurant,On Premise,7/16/2026,1.00,,
Allison Scott,1169 Fever Tree Ginger Ale 6/4/200 mL Btl,12041 Cheesecake Fact (A)Wayne,On Premise,7/16/2026,1.00,,
Paul Mclaughlin,1181 Fever Tree Classic Bloody Mary Mix 6/750 mL Btl,59006 The Oak House,On Premise,7/16/2026,1.00,,
Brian Sengebush,1169 Fever Tree Ginger Ale 6/4/200 mL Btl,1022 The Cheesecake Factory,On Premise,7/16/2026,1.00,,
Brian Sengebush,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,1022 The Cheesecake Factory,On Premise,7/16/2026,1.00,,
Brian Sengebush,1166 Fever Tree Elderflower Tonic Water 6/4/200 mL Btl,191509 The Beacon,On Premise,7/16/2026,1.00,,
Anthony Palmisano,1174 Fever Tree Lime-Yuzu 6/4/200 mL Btl,230915 Crystal Sprs/Wild Turkey,On Premise,7/16/2026,1.00,,
Brian Sengebush,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,1024 Buffalo Wild Wings (Rockaway),On Premise,7/16/2026,1.00,,
Allison Scott,1157 Fever Tree Club Soda 6/4/200 mL Btl,12056 PF Changs China Bistro (Wayne),On Premise,7/15/2026,1.00,,
Allison Scott,1160 Fever Tree Tonic Water 6/4/200 mL Btl,12031 Double Ai Asian Bistro,On Premise,7/15/2026,1.00,,
Allison Scott,1172 Fever Tree Pink Grapefruit Soda 6/4/200 mL Btl,12056 PF Changs China Bistro (Wayne),On Premise,7/15/2026,1.00,,
Paul Mclaughlin,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,41001 Casual Habana Cafe(Hack),On Premise,7/15/2026,1.00,,
Nick Melissari,1168 Fever Tree mediterranean Tonic Water 6/4/200 mL Btl,92002 Anthony's CF Pizza (A) (Ramsey),On Premise,7/15/2026,1.00,,
Paul Mclaughlin,1163 Fever Tree Tonic Water Light 6/4/200 mL Btl,52030 Sofia,On Premise,7/14/2026,1.00,,
Brian Sengebush,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,1017 Millers Ale House Rockawa,On Premise,7/14/2026,1.00,,
Anthony Palmisano,1155 Fever Tree Ginger Beer 3/8/150 mL Can,230915 Crystal Sprs/Wild Turkey,On Premise,7/14/2026,1.00,,
Paul Mclaughlin,1157 Fever Tree Club Soda 6/4/200 mL Btl,52030 Sofia,On Premise,7/14/2026,1.00,,
Paul Mclaughlin,1174 Fever Tree Lime-Yuzu 6/4/200 mL Btl,70013 Flemings Prime Steakhouse and Wine Bar,On Premise,7/14/2026,1.00,,
Paul Mclaughlin,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,70013 Flemings Prime Steakhouse and Wine Bar,On Premise,7/14/2026,1.00,,
Paul Mclaughlin,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,52030 Sofia,On Premise,7/14/2026,1.00,,
Paul Mclaughlin,1175 Fever Tree Cucumber 6/4/200 mL Btl,52030 Sofia,On Premise,7/14/2026,1.00,,
Paul Mclaughlin,1176 Fever Tree Sicilian Lemonade 6/4/200 mL Btl,71005 Park Steakhouse,On Premise,7/14/2026,1.00,,
Anthony Palmisano,1167 Fever Tree Elderflower Tonic Water 3/8/150 mL Can,230915 Crystal Sprs/Wild Turkey,On Premise,7/10/2026,1.00,,
Javier Melo,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,24051 La Bonita,On Premise,7/10/2026,1.00,,
Paul Mclaughlin,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,71004 Four Leaves,On Premise,7/9/2026,1.00,,
Nick Melissari,1154 Fever Tree Ginger Beer 8/500 mL Btl,80031 Grand Lux Cafe (A),On Premise,7/9/2026,1.00,,
Allison Scott,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,12041 Cheesecake Fact (A)Wayne,On Premise,7/9/2026,1.00,,
Chris Payton,1157 Fever Tree Club Soda 6/4/200 mL Btl,47019 Hilton Garden Inn Ridgefield Park,On Premise,7/9/2026,1.00,,
Nick Melissari,1168 Fever Tree mediterranean Tonic Water 6/4/200 mL Btl,40025 Pf Changs China Bis(A) (Hackensack),On Premise,7/9/2026,1.00,,
Nick Melissari,1169 Fever Tree Ginger Ale 6/4/200 mL Btl,41016 Cheesecake Fact (A)Hacken,On Premise,7/9/2026,1.00,,
Nick Melissari,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,41016 Cheesecake Fact (A)Hacken,On Premise,7/9/2026,1.00,,
Allison Scott,1169 Fever Tree Ginger Ale 6/4/200 mL Btl,12041 Cheesecake Fact (A)Wayne,On Premise,7/9/2026,1.00,,
Allison Scott,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,24019 Sharky's Wings(P),On Premise,7/8/2026,1.00,,
Mike Ast,1155 Fever Tree Ginger Beer 3/8/150 mL Can,84022 Park West Tavern,On Premise,7/8/2026,1.00,,
Nick Melissari,1169 Fever Tree Ginger Ale 6/4/200 mL Btl,41025 Morton's The Stkhse Hacke,On Premise,7/7/2026,1.00,,
Nick Melissari,1155 Fever Tree Ginger Beer 3/8/150 mL Can,92005 Kinchley's,On Premise,7/7/2026,1.00,,
Paul Mclaughlin,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,52030 Sofia,On Premise,7/7/2026,1.00,,
Nick Melissari,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,41025 Morton's The Stkhse Hacke,On Premise,7/7/2026,1.00,,
Nick Melissari,1157 Fever Tree Club Soda 6/4/200 mL Btl,41025 Morton's The Stkhse Hacke,On Premise,7/7/2026,1.00,,
Allison Scott,1155 Fever Tree Ginger Beer 3/8/150 mL Can,7003 Blu Ale House,On Premise,7/7/2026,1.00,,
Paul Mclaughlin,1157 Fever Tree Club Soda 6/4/200 mL Btl,52030 Sofia,On Premise,7/7/2026,1.00,,
Brian Sengebush,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,1017 Millers Ale House Rockawa,On Premise,7/7/2026,1.00,,
Allison Scott,1162 Fever Tree Tonic Water 3/8/150 mL Can,7003 Blu Ale House,On Premise,7/7/2026,1.00,,
Phil Ernst,1162 Fever Tree Tonic Water 3/8/150 mL Can,76021 Saddle Brook Liquor & Bar,On Premise,7/3/2026,1.00,,
Phil Ernst,1169 Fever Tree Ginger Ale 6/4/200 mL Btl,76021 Saddle Brook Liquor & Bar,On Premise,7/3/2026,1.00,,
Phil Ernst,1174 Fever Tree Lime-Yuzu 6/4/200 mL Btl,76021 Saddle Brook Liquor & Bar,On Premise,7/3/2026,1.00,,
Phil Ernst,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,76021 Saddle Brook Liquor & Bar,On Premise,7/3/2026,1.00,,
Phil Ernst,1159 Fever Tree Club Soda 3/8/150 mL Can,76021 Saddle Brook Liquor & Bar,On Premise,7/3/2026,1.00,,
Mike Ast,1172 Fever Tree Pink Grapefruit Soda 6/4/200 mL Btl,95001 Pazza,On Premise,7/3/2026,1.00,,
Allison Scott,1155 Fever Tree Ginger Beer 3/8/150 mL Can,25078 The Shannon Rose (A),On Premise,7/2/2026,1.00,,
Nick Melissari,1169 Fever Tree Ginger Ale 6/4/200 mL Btl,41016 Cheesecake Fact (A)Hacken,On Premise,7/2/2026,1.00,,
Anthony Palmisano,1174 Fever Tree Lime-Yuzu 6/4/200 mL Btl,230915 Crystal Sprs/Wild Turkey,On Premise,7/2/2026,1.00,,
Paul Mclaughlin,1172 Fever Tree Pink Grapefruit Soda 6/4/200 mL Btl,74021 Bar Mutz,On Premise,7/2/2026,1.00,,
Brian Sengebush,1169 Fever Tree Ginger Ale 6/4/200 mL Btl,1022 The Cheesecake Factory,On Premise,7/2/2026,1.00,,
Allison Scott,1162 Fever Tree Tonic Water 3/8/150 mL Can,12037 Maggies Town Tavern Ii,On Premise,7/2/2026,1.00,,
Paul Mclaughlin,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,74021 Bar Mutz,On Premise,7/2/2026,1.00,,
Allison Scott,1173 Fever Tree Pink Grapefruit Soda 3/8/150 mL Can,25078 The Shannon Rose (A),On Premise,7/2/2026,1.00,,
Anthony Palmisano,1175 Fever Tree Cucumber 6/4/200 mL Btl,230915 Crystal Sprs/Wild Turkey,On Premise,7/2/2026,1.00,,
Paul Mclaughlin,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,74010 Osteria Crescendo,On Premise,7/2/2026,1.00,,
Allison Scott,1157 Fever Tree Club Soda 6/4/200 mL Btl,12056 PF Changs China Bistro (Wayne),On Premise,7/2/2026,1.00,,
Paul Mclaughlin,1160 Fever Tree Tonic Water 6/4/200 mL Btl,74010 Osteria Crescendo,On Premise,7/2/2026,1.00,,
Allison Scott,1172 Fever Tree Pink Grapefruit Soda 6/4/200 mL Btl,12056 PF Changs China Bistro (Wayne),On Premise,7/2/2026,1.00,,
Allison Scott,1160 Fever Tree Tonic Water 6/4/200 mL Btl,12031 Double Ai Asian Bistro,On Premise,7/2/2026,1.00,,
Paul Mclaughlin,1178 Fever Tree Expresso Martini Mix 8/500 mL Btl,81004 Stosh's Craft Bar (Z),On Premise,7/2/2026,1.00,,
Paul Mclaughlin,1166 Fever Tree Elderflower Tonic Water 6/4/200 mL Btl,74010 Osteria Crescendo,On Premise,7/2/2026,1.00,,
Anthony Palmisano,1167 Fever Tree Elderflower Tonic Water 3/8/150 mL Can,230915 Crystal Sprs/Wild Turkey,On Premise,7/2/2026,1.00,,
Allison Scott,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,12041 Cheesecake Fact (A)Wayne,On Premise,7/1/2026,1.00,,
Robin Feldman,1180 Fever Tree Classic Margarita Light Mix 6/750 mL Btl,18007 The Tides,On Premise,7/1/2026,1.00,,
Paul Mclaughlin,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,52030 Sofia,On Premise,7/1/2026,1.00,,
Paul Mclaughlin,1163 Fever Tree Tonic Water Light 6/4/200 mL Btl,52030 Sofia,On Premise,7/1/2026,1.00,,
Paul Mclaughlin,1157 Fever Tree Club Soda 6/4/200 mL Btl,52030 Sofia,On Premise,7/1/2026,1.00,,
Derrick Laws,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,15069 Mexico Bar & Grill,On Premise,7/1/2026,1.00,,
Allison Scott,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,58005 Feathers (A),On Premise,7/1/2026,1.00,,
Allison Scott,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,13005 Sear,On Premise,7/1/2026,1.00,,
Allison Scott,1169 Fever Tree Ginger Ale 6/4/200 mL Btl,12041 Cheesecake Fact (A)Wayne,On Premise,7/1/2026,1.00,,
Nick Melissari,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,80018 Millers Paramus Ale House,On Premise,6/30/2026,1.00,,
Allison Scott,1155 Fever Tree Ginger Beer 3/8/150 mL Can,7003 Blu Ale House,On Premise,6/30/2026,1.00,,
Nick Melissari,1160 Fever Tree Tonic Water 6/4/200 mL Btl,80012 California Pizza Paramus,On Premise,6/30/2026,1.00,,
Allison Scott,1162 Fever Tree Tonic Water 3/8/150 mL Can,7003 Blu Ale House,On Premise,6/30/2026,1.00,,
Brian Sengebush,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,1017 Millers Ale House Rockawa,On Premise,6/30/2026,1.00,,
Anthony Palmisano,1167 Fever Tree Elderflower Tonic Water 3/8/150 mL Can,230915 Crystal Sprs/Wild Turkey,On Premise,6/30/2026,1.00,,
Nick Melissari,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,80012 California Pizza Paramus,On Premise,6/30/2026,1.00,,
Nick Melissari,1160 Fever Tree Tonic Water 6/4/200 mL Btl,80018 Millers Paramus Ale House,On Premise,6/30/2026,1.00,,
Nick Melissari,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,88002 Nellie's Place (P),On Premise,6/30/2026,1.00,,
Paul Mclaughlin,1154 Fever Tree Ginger Beer 8/500 mL Btl,85001 Eleven Central,On Premise,6/29/2026,1.00,,
Mike Ast,1172 Fever Tree Pink Grapefruit Soda 6/4/200 mL Btl,95001 Pazza,On Premise,6/27/2026,1.00,,
Dan Lagala,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,49016 Ipic Theaters,On Premise,6/27/2026,1.00,,
Allison Scott,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,14016 JINYA Ramen Bar,On Premise,6/27/2026,1.00,,
Anthony Palmisano,1155 Fever Tree Ginger Beer 3/8/150 mL Can,230915 Crystal Sprs/Wild Turkey,On Premise,6/27/2026,1.00,,
Anthony Palmisano,1173 Fever Tree Pink Grapefruit Soda 3/8/150 mL Can,230915 Crystal Sprs/Wild Turkey,On Premise,6/27/2026,1.00,,
Mike Ast,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,95001 Pazza,On Premise,6/27/2026,1.00,,
Nick Melissari,1169 Fever Tree Ginger Ale 6/4/200 mL Btl,41016 Cheesecake Fact (A)Hacken,On Premise,6/26/2026,1.00,,
Brian Sengebush,1169 Fever Tree Ginger Ale 6/4/200 mL Btl,1022 The Cheesecake Factory,On Premise,6/26/2026,1.00,,
Allison Scott,1155 Fever Tree Ginger Beer 3/8/150 mL Can,19004 Shortways' Barn (A),On Premise,6/26/2026,1.00,,
Brian Sengebush,1166 Fever Tree Elderflower Tonic Water 6/4/200 mL Btl,191509 The Beacon,On Premise,6/26/2026,1.00,,
Brian Sengebush,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,1022 The Cheesecake Factory,On Premise,6/26/2026,1.00,,
Nick Melissari,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,40030 JINYA Ramen Bar (Hackensack),On Premise,6/26/2026,1.00,,
Nick Melissari,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,41016 Cheesecake Fact (A)Hacken,On Premise,6/26/2026,1.00,,
Brian Sengebush,1172 Fever Tree Pink Grapefruit Soda 6/4/200 mL Btl,191509 The Beacon,On Premise,6/26/2026,1.00,,
Nick Melissari,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,40024 Maggiano's Little(A)Italy,On Premise,6/26/2026,1.00,,
Mike Ast,1155 Fever Tree Ginger Beer 3/8/150 mL Can,84015 The Office 2131 Ridgewood,On Premise,6/26/2026,1.00,,
Nick Melissari,1160 Fever Tree Tonic Water 6/4/200 mL Btl,40030 JINYA Ramen Bar (Hackensack),On Premise,6/26/2026,1.00,,
Paul Mclaughlin,1160 Fever Tree Tonic Water 6/4/200 mL Btl,81024 Anthony's Coal Fired Pizza (Fair Lawn),On Premise,6/25/2026,1.00,,
Allison Scott,1169 Fever Tree Ginger Ale 6/4/200 mL Btl,12041 Cheesecake Fact (A)Wayne,On Premise,6/25/2026,1.00,,
Anthony Palmisano,1173 Fever Tree Pink Grapefruit Soda 3/8/150 mL Can,230915 Crystal Sprs/Wild Turkey,On Premise,6/25/2026,1.00,,
Nick Melissari,1154 Fever Tree Ginger Beer 8/500 mL Btl,80031 Grand Lux Cafe (A),On Premise,6/25/2026,1.00,,
Allison Scott,1155 Fever Tree Ginger Beer 3/8/150 mL Can,25078 The Shannon Rose (A),On Premise,6/25/2026,1.00,,
Paul Mclaughlin,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,71004 Four Leaves,On Premise,6/25/2026,1.00,,
Allison Scott,1173 Fever Tree Pink Grapefruit Soda 3/8/150 mL Can,25078 The Shannon Rose (A),On Premise,6/25/2026,1.00,,
Allison Scott,1157 Fever Tree Club Soda 6/4/200 mL Btl,24038 J. Alexander's Restaurant,On Premise,6/25/2026,1.00,,
Allison Scott,1169 Fever Tree Ginger Ale 6/4/200 mL Btl,24038 J. Alexander's Restaurant,On Premise,6/25/2026,1.00,,
Allison Scott,1168 Fever Tree mediterranean Tonic Water 6/4/200 mL Btl,12048 Anthonys CF Pizza (Wayne),On Premise,6/25/2026,1.00,,
Paul Mclaughlin,1172 Fever Tree Pink Grapefruit Soda 6/4/200 mL Btl,71004 Four Leaves,On Premise,6/25/2026,1.00,,
Nick Melissari,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,80018 Millers Paramus Ale House,On Premise,6/25/2026,1.00,,
Paul Mclaughlin,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,52030 Sofia,On Premise,6/24/2026,1.00,,
Allison Scott,1155 Fever Tree Ginger Beer 3/8/150 mL Can,7003 Blu Ale House,On Premise,6/24/2026,1.00,,
Paul Mclaughlin,1155 Fever Tree Ginger Beer 3/8/150 mL Can,40038 Forte Ristorante,On Premise,6/24/2026,1.00,,
Paul Mclaughlin,1163 Fever Tree Tonic Water Light 6/4/200 mL Btl,52030 Sofia,On Premise,6/24/2026,1.00,,
Allison Scott,1162 Fever Tree Tonic Water 3/8/150 mL Can,7003 Blu Ale House,On Premise,6/24/2026,1.00,,
Nick Melissari,1158 Fever Tree Club Soda 8/500 mL Btl,92003 Bar Boutique,On Premise,6/24/2026,1.00,,
Nick Melissari,1168 Fever Tree mediterranean Tonic Water 6/4/200 mL Btl,92002 Anthony's CF Pizza (A) (Ramsey),On Premise,6/24/2026,1.00,,
Paul Mclaughlin,1157 Fever Tree Club Soda 6/4/200 mL Btl,52030 Sofia,On Premise,6/24/2026,1.00,,
Nick Melissari,1174 Fever Tree Lime-Yuzu 6/4/200 mL Btl,80013 Bonefish Grill (A) (Paramus),On Premise,6/23/2026,1.00,,
Brian Sengebush,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,1017 Millers Ale House Rockawa,On Premise,6/23/2026,1.00,,
Anthony Palmisano,1173 Fever Tree Pink Grapefruit Soda 3/8/150 mL Can,230915 Crystal Sprs/Wild Turkey,On Premise,6/22/2026,1.00,,
Anthony Palmisano,1178 Fever Tree Expresso Martini Mix 8/500 mL Btl,230915 Crystal Sprs/Wild Turkey,On Premise,6/22/2026,1.00,,
Anthony Palmisano,1177 Fever Tree Distillers Cola 6/4/200 mL Btl,230915 Crystal Sprs/Wild Turkey,On Premise,6/22/2026,1.00,,
Anthony Palmisano,1153 Fever Tree Blood Orange Ginger Beer 6/4/200 mL Btl,230915 Crystal Sprs/Wild Turkey,On Premise,6/22/2026,1.00,,
Anthony Palmisano,1179 Fever Tree Classic Margarita Mix 6/750 mL Btl,230915 Crystal Sprs/Wild Turkey,On Premise,6/22/2026,1.00,,
Paul Mclaughlin,1166 Fever Tree Elderflower Tonic Water 6/4/200 mL Btl,74010 Osteria Crescendo,On Premise,6/19/2026,1.00,,
Paul Mclaughlin,1172 Fever Tree Pink Grapefruit Soda 6/4/200 mL Btl,74010 Osteria Crescendo,On Premise,6/19/2026,1.00,,
Nick Melissari,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,41016 Cheesecake Fact (A)Hacken,On Premise,6/19/2026,1.00,,
Paul Mclaughlin,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,74021 Bar Mutz,On Premise,6/19/2026,1.00,,
Paul Mclaughlin,1155 Fever Tree Ginger Beer 3/8/150 mL Can,60002 QB's Bar and Grill,On Premise,6/19/2026,1.00,,
Paul Mclaughlin,1175 Fever Tree Cucumber 6/4/200 mL Btl,52030 Sofia,On Premise,6/19/2026,1.00,,
Nick Melissari,1172 Fever Tree Pink Grapefruit Soda 6/4/200 mL Btl,40025 Pf Changs China Bis(A) (Hackensack),On Premise,6/19/2026,1.00,,
Paul Mclaughlin,1166 Fever Tree Elderflower Tonic Water 6/4/200 mL Btl,74021 Bar Mutz,On Premise,6/19/2026,1.00,,
Nick Melissari,1169 Fever Tree Ginger Ale 6/4/200 mL Btl,41016 Cheesecake Fact (A)Hacken,On Premise,6/19/2026,1.00,,
Brian Sengebush,1154 Fever Tree Ginger Beer 8/500 mL Btl,190219 Columbia Inn,On Premise,6/19/2026,1.00,,
Paul Mclaughlin,1160 Fever Tree Tonic Water 6/4/200 mL Btl,74010 Osteria Crescendo,On Premise,6/19/2026,1.00,,
Paul Mclaughlin,1172 Fever Tree Pink Grapefruit Soda 6/4/200 mL Btl,74021 Bar Mutz,On Premise,6/19/2026,1.00,,
Pablo Lopez,1160 Fever Tree Tonic Water 6/4/200 mL Btl,27067 Ukranian (Z) Center,On Premise,6/19/2026,1.00,,
Allison Scott,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,12056 PF Changs China Bistro (Wayne),On Premise,6/18/2026,1.00,,
Nick Melissari,1160 Fever Tree Tonic Water 6/4/200 mL Btl,41009 TRUE FOOD,On Premise,6/18/2026,1.00,,
